City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
212,Camana,PE,68.11,overcast clouds,-16.62,-72.71,
213,Tecpan,GT,64.4,broken clouds,14.76,-90.99,
214,Buta,CD,77.63,light rain,2.79,24.73,
216,Bubaque,GW,84.99,overcast clouds,11.28,-15.83,
217,Kendari,ID,76.37,heavy intensity rain,-3.94,122.5,
222,Lashio,MM,67.12,light rain,22.93,97.75,
223,Eydhafushi,MV,83.66,broken clouds,5.1,73.07,
227,Santa Ana,US,64.99,fog,33.75,-117.87,
228,Kalmunai,LK,81.09,broken clouds,7.42,81.82,
230,Kinablangan,PH,79.27,overcast clouds,7.69,126.55,
233,Benguela,AO,82.4,scattered clouds,-12.58,13.41,
236,Butembo,CD,65.14,light rain,0.15,29.28,
238,Zunyi,CN,57.38,overcast clouds,27.69,106.91,
239,Jalu,LY,75.24,clear sky,29.03,21.55,
240,Taltal,CL,64.51,scattered clouds,-25.4,-70.48,
241,Carinhanha,BR,84.36,overcast clouds,-14.3,-43.77,
243,San Policarpo,PH,80.96,heavy intensity rain,12.18,125.51,
245,Voh,NC,73.83,broken clouds,-20.97,164.7,
246,Karratha,AU,71.76,clear sky,-20.74,116.85,
248,Guapi,CO,81.0,moderate rain,2.57,-77.89,
250,Souillac,MU,69.8,shower rain,-20.52,57.52,
253,Port-Gentil,GA,84.2,scattered clouds,-0.72,8.78,
254,Kalangala,UG,74.21,broken clouds,-0.31,32.23,
256,Coahuayana,MX,71.6,mist,18.73,-103.68,
257,Freistadt,AT,60.01,broken clouds,48.51,14.5,
258,Hambantota,LK,82.4,haze,6.12,81.12,
259,Sorong,ID,81.07,scattered clouds,-0.88,131.25,
260,Daru,PG,77.83,scattered clouds,-9.08,143.21,
263,Bolobo,CD,83.59,few clouds,-2.17,16.23,
265,Mao,ES,68.0,clear sky,39.89,4.27,
266,Astrakhan,RU,55.4,clear sky,46.35,48.04,
267,Katsuura,JP,59.0,few clouds,35.13,140.3,
268,Catamarca,AR,68.0,clear sky,-28.47,-65.79,
271,Caravelas,BR,81.72,moderate rain,-17.71,-39.25,
272,Luena,AO,82.4,scattered clouds,-11.78,19.92,
274,Wenshang,CN,55.96,scattered clouds,35.73,116.5,
275,Santiago Del Estero,AR,77.47,clear sky,-27.8,-64.26,
276,Colares,PT,70.0,few clouds,38.8,-9.45,
278,Lengyeltoti,HU,62.6,clear sky,46.67,17.64,
281,Kanker,IN,68.47,clear sky,20.27,81.49,
282,Monterrey,MX,57.99,clear sky,25.67,-100.32,
283,Dolores,AR,66.29,clear sky,-36.31,-57.68,
284,Auki,SB,77.94,scattered clouds,-8.77,160.7,
287,Karpathos,GR,69.8,clear sky,35.51,27.21,
289,Langsa,ID,77.72,overcast clouds,4.47,97.97,
292,Saint-Gaudens,FR,75.2,clear sky,43.08,0.67,
293,Ankara,TR,55.4,scattered clouds,39.92,32.85,
300,Rio Grande,BR,69.8,scattered clouds,-32.03,-52.1,
306,Port Blair,IN,80.8,scattered clouds,11.67,92.75,
307,San Cristobal,VE,68.85,light rain,7.77,-72.22,
308,Nago,JP,71.6,light intensity drizzle,26.59,127.98,
313,Kuala Lipis,MY,75.33,overcast clouds,4.18,102.05,
315,Vao,NC,73.11,overcast clouds,-22.67,167.48,
316,Bandarbeyla,SO,78.08,broken clouds,9.49,50.81,
317,Paita,PE,66.2,overcast clouds,-5.09,-81.11,
319,Padang,ID,79.84,moderate rain,-0.95,100.35,
320,Maralal,KE,66.85,few clouds,1.1,36.7,
322,Maragogi,BR,83.41,overcast clouds,-9.01,-35.22,
323,Sinjai,ID,76.64,light rain,-5.12,120.25,
325,Faanui,PF,78.51,scattered clouds,-16.48,-151.75,
326,Dreux,FR,64.0,moderate rain,48.67,1.25,
331,Havre,FR,59.0,light rain,49.58,0.33,
332,Itoman,JP,73.4,broken clouds,26.12,127.67,
333,Hualmay,PE,67.8,overcast clouds,-11.1,-77.61,
334,Banda Aceh,ID,80.94,light rain,5.56,95.32,
335,Gornja Radgona,SI,68.0,clear sky,46.67,15.99,
336,Handan,CN,55.96,clear sky,36.6,114.47,
337,Emerald,AU,71.6,light rain,-23.53,148.17,
338,Kahului,US,78.8,scattered clouds,20.89,-156.47,
339,Kalofer,BG,62.6,broken clouds,42.62,24.98,
341,Gladstone,AU,75.2,broken clouds,-23.85,151.25,
346,Mapiri,BO,74.8,overcast clouds,-15.25,-68.17,
347,Akyab,MM,81.18,moderate rain,20.15,92.9,
348,Hirara,JP,77.81,clear sky,24.8,125.28,
349,Waipawa,NZ,60.8,few clouds,-41.41,175.52,
350,Siyana,IN,73.69,clear sky,28.63,78.06,
351,Maxixe,MZ,77.41,clear sky,-23.86,35.35,
352,Pa Sang,TH,77.0,scattered clouds,18.53,98.94,
354,Mahon,ES,68.0,clear sky,39.89,4.27,
356,Mount Isa,AU,71.6,clear sky,-20.73,139.5,
361,Tiznit,MA,81.57,clear sky,29.58,-9.5,
363,Bima,ID,77.29,light rain,-8.47,118.72,
364,Phan Thiet,VN,78.01,broken clouds,10.93,108.1,
365,Methoni,GR,72.0,scattered clouds,36.82,21.7,
366,Bereda,ES,66.0,overcast clouds,43.27,-7.54,
369,Kruisfontein,ZA,66.99,scattered clouds,-34.0,24.73,
371,Marsala,IT,69.8,few clouds,37.8,12.44,
372,Alice,US,60.8,clear sky,27.75,-98.07,
373,Jinhua,CN,58.57,light rain,29.11,119.65,
374,Rosetta,EG,78.8,scattered clouds,31.4,30.42,
378,Guararapes,BR,81.97,scattered clouds,-21.26,-50.64,
383,Manali,IN,82.4,mist,13.17,80.27,
384,Tabou,CI,81.84,broken clouds,4.42,-7.35,
385,Panzhihua,CN,69.62,broken clouds,26.59,101.71,
389,Finschhafen,PG,79.2,overcast clouds,-6.6,147.87,
390,Maumere,ID,81.21,broken clouds,-8.62,122.21,
393,Praia Da Vitoria,PT,73.4,broken clouds,38.73,-27.07,
394,Dhidhdhoo,MV,83.82,overcast clouds,6.88,73.1,
396,Sola,VU,80.74,scattered clouds,-13.88,167.55,
399,Warri,NG,83.95,moderate rain,5.52,5.75,
402,Davila,PH,76.35,overcast clouds,18.47,120.58,
405,Prijedor,BA,68.0,clear sky,44.98,16.71,
406,Kuhdasht,IR,73.4,clear sky,33.53,47.61,
408,Flinders,AU,60.01,scattered clouds,-34.58,150.86,
410,San Patricio,US,60.01,few clouds,28.02,-97.52,
411,Antofagasta,CL,68.0,scattered clouds,-23.65,-70.4,
414,Cairns,AU,73.4,scattered clouds,-16.92,145.77,
415,Argos,GR,69.01,clear sky,37.63,22.73,
417,Ouadda,CF,81.23,light rain,8.08,22.4,
420,Corozal,CO,81.0,light rain,9.32,-75.29,
421,Richards Bay,ZA,67.98,overcast clouds,-28.78,32.04,
422,Bardiyah,LY,71.1,few clouds,31.76,25.09,
423,Santa Cruz,BO,82.4,clear sky,-17.8,-63.17,
424,Fare,PF,79.07,few clouds,-16.7,-151.02,
425,Nalut,LY,73.78,clear sky,30.33,10.85,
426,Hobyo,SO,82.58,light rain,5.35,48.53,
427,Mmabatho,ZA,84.2,broken clouds,-25.85,25.63,
431,Tual,ID,83.14,scattered clouds,-5.67,132.75,
435,Grand Gaube,MU,69.01,clear sky,-20.01,57.66,
437,Mirskoy,RU,61.93,overcast clouds,45.54,40.4,
438,Comodoro Rivadavia,AR,60.8,clear sky,-45.87,-67.5,
439,Semnan,IR,59.92,clear sky,35.57,53.4,
440,Dingle,PH,76.33,overcast clouds,11.0,122.67,
441,Pisco,PE,64.99,overcast clouds,-13.7,-76.22,
444,Inhambane,MZ,77.29,clear sky,-23.86,35.38,
445,Alice Springs,AU,66.2,scattered clouds,-23.7,133.88,
447,Alyangula,AU,75.2,clear sky,-13.85,136.42,
449,Chivilcoy,AR,68.0,clear sky,-34.9,-60.02,
450,Morgan City,US,63.0,clear sky,29.7,-91.21,
452,Ozuluama,MX,66.2,clear sky,21.67,-97.85,
454,Samarai,PG,80.49,broken clouds,-10.62,150.67,
456,Lubango,AO,67.87,moderate rain,-14.92,13.49,
457,Barcelos,PT,68.0,broken clouds,41.54,-8.62,
460,Kokopo,PG,77.77,overcast clouds,-4.35,152.26,
462,Agadez,NE,84.11,clear sky,19.75,10.25,
463,Hervey Bay,AU,75.99,clear sky,-25.3,152.85,
