City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
130,Guerrero Negro,MX,27.98,-114.06,67.84,62,5,1.21,clear sky
131,Laguna,US,38.42,-121.42,44.6,81,1,2.37,clear sky
132,Cap-Aux-Meules,CA,47.38,-61.86,37.4,51,59,18.34,broken clouds
133,Ushtobe,KZ,45.25,77.98,43.03,60,0,11.97,clear sky
134,Tautira,PF,-17.73,-149.15,73.4,83,20,3.36,few clouds
135,Borazjan,IR,29.27,51.22,84.2,39,0,9.17,clear sky
136,Saint-Pierre,RE,-21.34,55.48,71.6,53,90,8.05,overcast clouds
137,Lac Du Bonnet,CA,50.25,-96.06,37.99,74,88,32.21,overcast clouds
138,Hilo,US,19.73,-155.09,73.4,78,75,4.7,broken clouds
139,Itupiranga,BR,-5.13,-49.33,86.0,79,75,5.82,moderate rain
140,Ivanivka,UA,46.72,34.55,50.52,86,100,10.42,light rain
141,Bethel,US,41.37,-73.41,37.0,74,1,4.05,clear sky
142,Kenai,US,60.55,-151.26,8.6,78,1,8.95,clear sky
143,Vanderhoof,CA,54.02,-124.02,32.58,94,100,1.45,overcast clouds
144,Griffith,US,41.53,-87.42,43.0,65,1,12.75,clear sky
145,Esfarayen,IR,37.08,57.51,64.4,16,0,4.7,clear sky
146,Kahone,SN,14.15,-16.03,99.84,13,100,8.57,overcast clouds
147,Zhigansk,RU,66.77,123.37,-11.76,89,79,0.2,broken clouds
148,Bucerias,MX,20.75,-105.33,80.01,88,5,5.82,clear sky
149,Abalak,RU,58.13,68.59,34.39,90,100,9.28,overcast clouds
150,Carroll,US,39.55,-77.02,45.0,75,90,3.36,overcast clouds
151,Peniche,PT,39.36,-9.38,73.99,74,77,1.99,broken clouds
152,Araguaina,BR,-7.19,-48.21,90.14,51,100,3.27,overcast clouds
153,Homer,US,59.64,-151.55,26.01,44,1,8.05,clear sky
154,Atar,MR,20.52,-13.05,98.56,9,0,13.51,clear sky
155,Chemax,MX,20.65,-87.93,78.17,95,58,5.06,moderate rain
156,Ahipara,NZ,-35.17,173.17,62.53,95,37,5.12,scattered clouds
157,Tateyama,JP,34.98,139.87,59.0,62,20,5.82,few clouds
158,Lucapa,AO,-8.42,20.74,82.24,64,87,3.47,overcast clouds
159,Rawson,AR,-43.3,-65.1,74.43,21,0,4.83,clear sky
160,Champerico,GT,14.3,-91.92,78.8,74,20,4.97,few clouds
161,Lagoa,PT,39.05,-27.98,68.67,92,98,27.6,overcast clouds
162,Gat,IL,31.61,34.76,78.01,100,30,12.12,scattered clouds
163,Fairmont,US,39.49,-80.14,45.0,93,40,2.86,scattered clouds
164,Chuy,UY,-33.7,-53.46,63.41,65,42,7.43,scattered clouds
165,Cockburn Town,TC,21.46,-71.14,82.89,80,88,18.07,overcast clouds
166,Nuevo Progreso,MX,23.17,-97.95,66.99,68,0,3.0,clear sky
167,Slave Lake,CA,55.28,-114.77,26.6,86,1,10.29,clear sky
168,Cape Town,ZA,-33.93,18.42,69.8,49,0,26.4,clear sky
169,Acheng,CN,45.55,126.98,44.6,61,0,15.66,clear sky
170,Ilulissat,GL,69.22,-51.1,15.8,72,75,4.7,broken clouds
171,Torbay,CA,47.67,-52.73,37.99,69,90,21.92,light shower snow
172,Celestun,MX,20.87,-90.4,78.04,79,95,10.4,overcast clouds
173,Tazovskiy,RU,67.47,78.7,34.38,99,100,12.28,light rain
174,Fortuna,US,40.6,-124.16,42.8,93,1,10.29,clear sky
175,Barrow,US,71.29,-156.79,19.4,85,90,4.7,overcast clouds
176,Saquena,PE,-4.67,-73.52,83.62,63,99,5.1,overcast clouds
177,Gogrial,SS,8.53,28.1,87.49,49,33,3.13,scattered clouds
178,Codrington,AU,-38.27,141.97,48.04,88,12,4.76,few clouds
179,Nuuk,GL,64.18,-51.72,21.2,73,40,5.82,scattered clouds
180,Saskylakh,RU,71.92,114.08,-3.95,83,1,5.61,clear sky
181,Hamilton,US,39.18,-84.53,46.0,61,20,10.29,few clouds
182,Chinchani,IN,19.87,72.7,79.57,63,0,5.1,clear sky
183,Kapchorwa,UG,1.4,34.45,64.33,81,100,2.84,overcast clouds
184,Susangerd,IR,31.56,48.18,78.8,22,0,2.24,clear sky
185,Jucuaran,SV,13.25,-88.25,69.15,100,90,2.59,overcast clouds
186,Gibgos,PH,13.86,123.77,81.97,82,100,28.23,heavy intensity rain
187,Harper,LR,4.38,-7.72,81.9,78,63,8.88,light rain
188,Puerto Ayora,EC,-0.74,-90.35,72.0,89,100,8.99,overcast clouds
189,Bengkulu,ID,-3.8,102.27,77.65,85,100,3.2,light rain
190,Gawler,AU,-34.6,138.73,52.0,82,0,3.0,clear sky
191,Georgetown,MY,5.41,100.34,82.4,83,40,2.24,moderate rain
192,Angoram,PG,-4.06,144.07,74.7,96,88,1.97,overcast clouds
193,Chokurdakh,RU,70.63,147.92,1.72,94,99,7.16,overcast clouds
194,Talakan,RU,50.32,130.37,37.09,93,100,10.11,moderate rain
195,Litovko,RU,49.24,135.17,40.14,82,100,5.99,overcast clouds
196,Adrar,MR,20.5,-10.07,93.52,11,96,10.87,overcast clouds
197,Jatiroto,ID,-7.88,111.12,75.18,86,95,3.94,light rain
198,Rio Gallegos,AR,-51.62,-69.22,59.0,47,0,10.29,clear sky
199,Cabo San Lucas,MX,22.89,-109.91,66.2,77,20,4.7,few clouds
200,Sao Filipe,CV,14.9,-24.5,82.2,59,78,18.12,broken clouds
201,Hami,CN,42.8,93.45,37.09,65,0,0.38,clear sky
202,Khatanga,RU,71.97,102.5,-6.93,87,96,6.51,overcast clouds
203,Chengzihe,CN,45.33,131.07,44.08,76,10,11.86,clear sky
204,Nome,US,64.5,-165.41,12.2,85,1,9.01,clear sky
205,Yar-Sale,RU,66.83,70.83,29.5,95,100,12.24,overcast clouds
206,Honiara,SB,-9.43,159.95,75.2,100,40,3.36,scattered clouds
207,Erenhot,CN,43.65,111.98,34.05,67,0,11.27,clear sky
208,Korla,CN,41.76,86.15,39.0,66,2,5.01,clear sky
209,Maryborough,AU,-25.53,152.7,75.99,82,6,4.0,clear sky
210,Iqaluit,CA,63.75,-68.51,21.2,79,90,6.93,light snow
211,Kuah,MY,6.33,99.84,84.2,83,20,11.86,few clouds
212,Camana,PE,-16.62,-72.71,68.11,69,95,8.41,overcast clouds
213,Tecpan,GT,14.76,-90.99,64.4,77,75,13.87,broken clouds
214,Buta,CD,2.79,24.73,77.63,94,47,2.55,light rain
215,Berlevag,NO,70.86,29.09,30.7,94,80,17.18,broken clouds
216,Bubaque,GW,11.28,-15.83,84.99,61,87,5.53,overcast clouds
217,Kendari,ID,-3.94,122.5,76.37,90,96,3.76,heavy intensity rain
218,Guatire,VE,10.48,-66.54,87.8,66,75,6.93,broken clouds
219,Gweta,BW,-20.18,25.23,98.01,10,2,10.22,clear sky
220,Pangnirtung,CA,66.15,-65.71,19.4,52,75,8.05,broken clouds
221,Shingu,JP,33.73,135.98,54.21,72,4,5.06,clear sky
222,Lashio,MM,22.93,97.75,67.12,98,80,1.41,light rain
223,Eydhafushi,MV,5.1,73.07,83.66,68,60,5.91,broken clouds
224,Rorvik,NO,64.86,11.24,46.99,75,81,15.01,broken clouds
225,Yinchuan,CN,38.47,106.27,46.08,43,0,4.81,clear sky
226,Inuvik,CA,68.35,-133.72,1.4,77,64,4.7,broken clouds
227,Santa Ana,US,33.75,-117.87,64.99,93,90,1.83,fog
228,Kalmunai,LK,7.42,81.82,81.09,78,71,3.11,broken clouds
229,Olga,RU,43.74,135.29,46.99,86,100,7.94,overcast clouds
230,Kinablangan,PH,7.69,126.55,79.27,82,93,5.41,overcast clouds
231,Shahr-E Babak,IR,30.12,55.12,52.54,36,0,7.09,clear sky
232,Dubbo,AU,-32.25,148.62,51.8,93,90,2.86,overcast clouds
233,Benguela,AO,-12.58,13.41,82.4,74,40,6.93,scattered clouds
234,Cherskiy,RU,68.75,161.3,7.38,87,100,4.09,overcast clouds
235,Maun,BW,-19.98,23.42,98.6,17,40,9.17,scattered clouds
236,Butembo,CD,0.15,29.28,65.14,97,74,1.54,light rain
237,Yaan,NG,7.38,8.57,91.63,43,12,3.56,few clouds
238,Zunyi,CN,27.69,106.91,57.38,93,100,2.64,overcast clouds
239,Jalu,LY,29.03,21.55,75.24,36,0,9.93,clear sky
240,Taltal,CL,-25.4,-70.48,64.51,57,35,6.69,scattered clouds
241,Carinhanha,BR,-14.3,-43.77,84.36,56,94,6.44,overcast clouds
242,Kidal,ML,18.44,1.41,93.52,11,10,17.45,clear sky
243,San Policarpo,PH,12.18,125.51,80.96,82,100,18.1,heavy intensity rain
244,Lavrentiya,RU,65.58,-171.0,19.62,92,20,9.1,few clouds
245,Voh,NC,-20.97,164.7,73.83,82,54,4.83,broken clouds
246,Karratha,AU,-20.74,116.85,71.76,83,0,14.09,clear sky
247,Fort Frances,CA,48.6,-93.4,39.99,69,90,11.41,overcast clouds
